orderID,price,quantity,type,side,fullyFilled
18,74213,245,0,1,1
36,74175,370,0,0,1
246,74188,373,0,0,1
189,74187,132,0,0,1
273,74206,186,1,1,1
283,74206,186,1,0,0
250,74207,114,1,1,0
283,74207,114,1,0,1
134,74194,204,1,0,1
273,74194,204,1,1,0
262,74193,47,1,0,0
273,74193,47,1,1,1
286,74206,162,1,1,1
292,74206,162,1,0,0
250,74207,255,1,1,1
292,74207,255,1,0,0
269,74207,39,1,1,0
292,74207,39,1,0,1
269,74207,223,1,1,0
292,74207,223,1,0,1
292,0,0,1,0,1
246,74185,300,0,0,1
153,74180,261,0,0,1
262,74193,28,1,0,1
298,74193,28,1,1,0
284,74193,201,1,0,0
298,74193,201,1,1,1
269,74207,9,1,1,1
299,74207,9,1,0,0
289,74207,226,1,1,0
299,74207,226,1,0,1
289,74207,193,1,1,1
301,74207,193,1,0,0
254,74209,84,1,1,0
301,74209,84,1,0,1
254,74209,234,1,1,0
301,74209,234,1,0,1
301,0,0,1,0,1
284,74193,212,1,0,1
301,74193,212,1,1,0
189,74192,247,1,0,0
301,74192,247,1,1,1
303,74207,153,1,1,0
305,74207,153,1,0,1
303,74207,261,1,1,1
311,74207,261,1,0,0
254,74209,181,1,1,1
311,74209,181,1,0,0
258,74209,18,1,1,0
311,74209,18,1,0,1
189,74192,212,1,0,1
311,74192,212,1,1,0
260,74191,154,1,0,0
311,74191,154,1,1,1
104,74219,301,0,1,1
258,74209,180,1,1,0
303,74209,180,1,0,1
260,74191,172,1,0,1
303,74191,172,1,1,0
303,74191,165,1,1,0
314,74191,165,1,0,1
303,74191,158,1,1,1
314,74191,158,1,0,0
258,74209,5,1,1,0
314,74209,5,1,0,1
218,74185,421,0,0,1
315,74192,388,1,1,1
318,74192,388,1,0,0
258,74209,71,1,1,0
318,74209,71,1,0,1
258,74209,174,1,1,0
319,74209,174,1,0,1
258,74209,1,1,1,1
324,74209,1,1,0,0
267,74209,200,1,1,0
324,74209,200,1,0,1
324,0,0,1,0,1
